Question,Answer,DifficultyFromQuestioner,DifficultyFromAnswerer
What is the average life expectancy of a kangaroo?,4.6 years,medium,medium
Is Santiago a name in Spanish?,yes,easy,easy
What suborder of turtles is extinct?,Paracryptodira,medium,medium
What is Ottawa's junior ice hockey team?,the Ottawa 67's,medium,medium
Are all spoken varieties of Chinese tonal and analytical?,yes,easy,easy
Who is the Mayor of Montreal?,The mayor is GÃ©rald Tremblay.,medium,easy
Is Canada bilingual?,"Yes, it is.",easy,easy
What shape are a leopard's black roS08_settes in East Africa?,circular,hard,hard
Are nationals referred to by the plural : Liechtensteiners ?,Yes,,easy
"Is a violin sometimes informally called a fiddle, regardless of the type of music played on it?",Yes.,,easy
When did the first educational works appear for the cello?,the 18th century,hard,hard
What is the battery made by Volta credited to be?,the first cell,medium,medium
What are the names of the two zoos in Berlin?,Zoologischer Garten Berlin and Tierpark Friedrichsfelde,hard,hard
What are the two main groups of Portuguese dialects?,The two main groups of dialects are Brazil and the Old World.,medium,medium
"Do the ants eat plants, meats, or both?",both,hard,hard
What unrelated water birds are ducks sometimes confused with?,"loons or divers, grebes, gallinules, and coots",medium,medium
Are several species of ants able to use the Earths magnetic field?,yes,,easy
Is the most important river the Ciliwung River,Yes,easy,easy
Was Faraday considered a gentleman?,no,easy,easy
Is the most popular sport in Montreal ice hockey?,"Yes, the most popular sport in Montreal is ice hockey.",easy,medium
How many occupation zones was Germany divided into after the war?,Germany was divided into four occupation zones after the war.,hard,hard
Who became adversaries with Nikola Tesla?,Nikola Tesla became adversaries with Edison.,medium,easy
What religion do most Uruguayans profess?,Roman Catholic,hard,hard
Whom did he share the Nobel Prize with?,Pierre and Marie Curie,medium,medium
What are most electric guitar bodies made of?,Wood,medium,medium
What is one significant non-official language?,Chinese,medium,medium
What book defined the official Finnish language?,The Dictionary of Contemporary Finnish defined the official Finnish language.,hard,hard
Is a kangaroo on the Australian coat of arms?,Yes,easy,medium
How do qatar and the wider region relate?,Qatar is aiming to become a role model for economic and social transformation in the region. Large scale investment in all social and economic sectors will also lead to the development of a strong financial market.,,hard
Who also discovered that less than three percent of kangaroos exposed to the virus developed blindness ?,Veterinarians,,medium
How many years ago was it when he discovered that the optical properties of gold colloids differed from those of the corresponding bulk metal?,162,,hard
When did Roosevelt die?,"On January 6, 1919, Roosevelt died in his sleep.",medium,medium
Does salmon remain the favorite of fly rod enthusiasts?,Yes,easy,easy
What does the word Ghana mean?,Warrior King,medium,medium
Did ford attend the University of Michigan?,Yes,easy,easy
Did Romania declare neutrality during World War I?,yes,easy,easy
Did Pascal have poor health throughout his life?,yes,easy,easy
Who determined to pursue mathematics?,Charles-Augustin de Coulomb,,medium
How old was Celsius when he died?,42,hard,hard
Is the left-most pedal on a grand piano called the una corda?,yes,easy,easy
When was the first factory opened?,1836,medium,medium
What shape is a trumpet bent into?,oblong,medium,medium
How many of James Watt's children did not live to adulthood?,3,medium,hard
"What is the official standard language used by the People's Republic of China, the Republic of China, and Singapore (where it is called ""Huayu"")?",Standard Mandarin,medium,medium
Do male giraffes weigh more than female giraffes?,Yes,hard,medium
When did it sign on the air?,In 1941.,,medium
What animal attracts the most humor and silliness?,The duck,medium,medium
"According to Reader's Digest, is Finland best for living?",Yes,easy,easy
What is the capital city?,The capital city is Helsinki. ,medium,medium
Where was Theodore Roosevelt from?,Gramercy section of New York City,medium,hard
Are male females generally taller than female giraffes?,Yes,hard,medium
"Where does the word ""otter"" derive from?","The word ""otter"" derives from the Old English word otr, otor or oter. This and cognate words in other Indo-European languages ultimately stem from a root which also gave rise to the English words ""water"", ""wet"" and ""winter"". ",medium,medium
"Do drums consist of at least one membrane, called a drumhead or drum skin, that is stretched over a shell and struck, either directly with parts of a player's body, or with some sort of implement such as a drumstick, to produce sound?",yes,,easy
How many long was Lincoln's formal education?,18 months.,medium,medium
"In 1602, the British East India Company's first voyage, commanded by Sir who, arrived in Aceh and sailed on to Banten where they were allowed to build a trading post?",James Lancaster,,medium
What is the weather like at Lake Volta?,warm and comparatively dry,hard,hard
What led Pascal to his religious conversion?,sickness and Jansenism,medium,medium
What do tigers' powerfully built legs and shoulders allow tigers to do?,They have the ability to pull down prey substantially heavier than themselves.,medium,medium
How many regions is Ghana divided into?,10,medium,easy
In what language was his 1811 paper published?,French,hard,hard
Are ducks in the Arctic Northern Hemisphere migratory?,yes,easy,easy
Was Santiago the name of an indie/punk band?,yes,easy,easy
Is Finnish a member of the Baltic-Finnic subgroup of the Uralic languages?,yes,easy,easy
How to travel to work from the city to Moscow?,railway,hard,hard
Where is Adams buried?,United First Parish Church,medium,medium
When is the Pacific typhoon season?,It's between June and October.,hard,hard
"Here , are all syllables unstressed , except the syllables/words best and done , which are stressed ?",yes,,easy
"Is the koala found in coastal regions of eastern and southern Australia, from near Adelaide to the southern part of Cape York Peninsula?",yes,,easy
Did Lincoln win the election of 1860?,Yes,hard,hard
"Does the word ``violin'' come from the Middle Latin word vitula, meaning ``stringed instrument''?",Yes.,,easy
What is the Polish word for swan?,&#321;ab&#281;d&#378;,hard,hard
"The only consolidated city-county in California, does it encompass a land area of on the northern end of the San Francisco Peninsula, making it the second most densely populated city in the United States?",San Francisco,,hard
Must … One conclude from these experiments that the phosphorescent substance in question emits rays which pass through the opaque paper and reduces silver salts ?,Yes,,easy
"How many years ago was it when he discovered the phenomenon that he named diamagnetism , and what is now called the Faraday effect?",164,,hard
The eggs of the largest species are what?,spherical,,medium
Was he regarded as a mostly reclusive artist?,"Yes, he was regarded as a mostly reclusive artist. ",,easy
Was Charles-Augustin de Coulomb ever employed at La Rochelle?,Yes.,easy,easy
Where did Orang Laut people live?,"Several hundred indigenous Orang Laut people also lived around the coast, rivers and smaller islands.",medium,medium
Do turtles breathe air?,yes,easy,hard
Who was the general in charge at the Battle of Antietam?,General McClellan,hard,medium
How old was Pascal when he died?,39,hard,hard
Was Volta an Italian physicist?,yes,easy,easy
What is Amedeo Avogadro`s last name?,Avogadro,,easy
Was Wilson president of the American Political Science Association in 1910 ?,Yes,,easy
What is the official language of Romania?,Romanian,medium,medium
When did a standard and common language become available to all Swedes?,In the 20th Century.,medium,hard
When was his house demolished?,1874,,hard
Is Kuala Lumpur the capitol of Malaysia? disfluent,Yes,easy,easy
What important electrical unit was named in honor of Volta?,the volt,medium,medium
Was Millard Fillmore the thirteenth President of the United States?,yes,easy,easy
How many years ago did Charles-Augustin de Coulomb die?,203,,hard
Was Grover Cleveland married in the whitehouse?,Yes.,easy,easy
What are the most common Cymbals?," The most common Cymbals are the Hi-Hats, Crash, Splash, Ride, and China.",medium,medium
When did Goh Chok Tong succeed Lee as Prime Minister?,"In 1990, Goh Chok Tong succeeded Lee as Prime Minister.",easy,medium
When did Volta retire?,In 1819.,medium,medium
Is the leopard smaller than the other members of Panthera?,yes,easy,easy
Give an example of the most renowned works of the Renaissance. ,"The Statue of David, completed by Michelangelo in 1504",,medium
What happens when the center of a Cymbal is hit?,It causes a sound which is in a higher register than the rest of the symbal.,hard,hard
Who won the 1903 Nobel Prize in Physics for discovering radioactivity ?,Henri Becquerel,,medium
Where is Amedeo Avogadro from?,Italy.,,hard
What did Taylor and Fillmore disagree upon?,Taylor and Fillmore disagreed on the slavery issue in the new western territories taken from Mexico in the Mexican-American War,hard,medium
How many municipalities is Liechtenstein divided into?,11,medium,medium
Is it true that loschmidt calculated first the value of Avogadro number?,Yes,,easy
Why are relations with Malaysia and Indonesia important?,"Due to obvious geographical reasons, relations with Malaysia and Indonesia are most important.",medium,medium
Why was the capital of Uruguay founded?,For a military stronghold.,hard,medium
What is along the city's western border?,The Danshui River borders Taipei to the west.,medium,medium
Is Vietnamese the official administrative language of Vietnam?,Yes.,easy,easy
Is Vietnamese the official administrative language of Vietnam?,Yes,easy,easy
